uploaded_at,date,topic,platform,video_id,video_url,title,publish_at
2026-06-12 00:55:42,2026-06-14,この店のジャグラーのクセを徹底分析,youtube,8hvrj0n1Ooo,https://www.youtube.com/watch?v=8hvrj0n1Ooo,【ジャグラー予想】この店のジャグラーのクセを徹底分析,2026-06-14T19:00:00+09:00
2026-06-12 02:17:43,2026-06-15,設定が入りやすい末尾の見抜き方,youtube,nLg_I4P6fHo,https://www.youtube.com/watch?v=nLg_I4P6fHo,【ジャグラー予想】設定が入りやすい末尾の見抜き方,2026-06-15T19:00:00+09:00
2026-06-12 02:28:32,2026/06/12,【持論】先ペカしたがるジャグラーは高設定,youtube,dbypSv5RGXY,https://www.youtube.com/watch?v=dbypSv5RGXY,【持論】先ペカしたがるジャグラーは高設定,
2026-06-12 04:30:43,2026/06/13,ジャグラーの先ペカは高設定の証,youtube,77YeXK37ArE,https://www.youtube.com/watch?v=77YeXK37ArE,ジャグラーの先ペカは高設定の証,2026-06-13T19:00:00+09:00
2026-06-12 04:34:12,2026-06-16,据え置き狙いできる台の条件3選,youtube,sPBTBZo_XoY,https://www.youtube.com/watch?v=sPBTBZo_XoY,据え置き狙い 条件TOP3,2026-06-16T19:00:00+09:00
2026-06-12 04:50:13,2026-06-17,今週の見送り推奨台ワースト3,youtube,jzuIxMZJ8qc,https://www.youtube.com/watch?v=jzuIxMZJ8qc,今週の見送り台ワースト3,2026-06-17T19:00:00+09:00
2026-06-12 05:22:56,2026-06-18,朝一ガックンチェック完全攻略,youtube,9yxjCDO2ek0,https://www.youtube.com/watch?v=9yxjCDO2ek0,朝一ガックン判別 3つのコツ,2026-06-18T19:00:00+09:00
